timestamp, avg_roundtrip_lat(ms)
1645320013.1897733, 943.1504039966967
1645320013.189836, 943.1504039966967
1645320013.1900673, 932.0254199992632
1645320013.1900942, 932.0254199992632
1645320013.237647, 969.4039759997395
1645320013.2377095, 969.4039759997395
1645320013.2619267, 941.1111120061832
1645320013.261994, 941.1111120061832
1645320013.2631407, 948.5366380031337
1645320013.2631822, 948.5366380031337
1645320013.3084807, 958.7379970034817
1645320013.3085413, 958.7379970034817
1645320013.3238878, 959.3516359964269
1645320013.3239546, 959.3516359964269
1645320013.333482, 957.86026299902
1645320013.3335369, 957.86026299902
1645320013.381467, 952.1283170033712
1645320013.3815267, 952.1283170033712
1645320013.394701, 962.9414489972987
1645320013.3947525, 962.9414489972987
1645320013.3969603, 945.8191279991297
1645320013.3970046, 945.8191279991297
1645320013.45428, 965.1123590010684
